성취기준,수준,성취수준
[2수01-01],A,수가 사용되는 여러 가지 실생활 상황에서 수의 필요성을 말하고 0과 50까지 또는 100까지의 수를 10개씩 묶음과 낱개로 나타내며 수를 읽고 쓸 수 있다.
[2수01-01],B,실생활에서 수가 사용되는 상황을 말하고 10개씩 묶음과 낱개를 이용하여 0과 50까지 또는 100까지의 수 개념을 이해하며 수를 읽고 쓸 수 있다.
[2수01-01],C,실생활에서 수가 사용됨을 알고 구체물을 세어 0과 50까지 또는 100까지의 수 개념을 이해하며 수를 읽고 쓸 수 있다.
[2수01-02],A,세 자리 수 또는 네 자리 수를 각 자리의 숫자가 나타내는 수들의 합으로 나타내고 수를 읽고 쓸 수 있다.
[2수01-02],B,세 자리 수 또는 네 자리 수에서 각 자리의 숫자가 나타내는 수를 말하고 수를 읽고 쓸 수 있다.
[2수01-02],C,일 십 백 또는 천의 자리를 알고 세 자리 수 또는 네 자리 수를 읽고 쓸 수 있다.
[2수01-03],A,네 자리 이하의 수의 범위에서 수의 계열을 이해하고 여러 가지 방법으로 수를 세며 수의 크기를 비교하고 그 방법을 설명할 수 있다.
[2수01-03],B,네 자리 이하의 수의 범위에서 수의 계열을 이해하여 뛰어 세기를 하고 수의 크기를 비교할 수 있다.
[2수01-03],C,네 자리 이하의 수의 범위에서 수를 순서대로 말하고 구체적인 조작 활동을 통하여 수의 크기를 비교할 수 있다.
[2수01-04],A,수 감각을 바탕으로 하나의 수를 여러 가지 경우의 두 수로 가르고 두 수를 하나의 수로 모을 수 있다.
[2수01-04],B,수 감각을 바탕으로 하나의 수를 두 수로 가르고 두 수를 하나의 수로 모을 수 있다.
[2수01-04],C,구체물을 이용하여 하나의 수를 두 수로 가르고 두 수를 하나의 수로 모을 수 있다.
[2수01-05],A,덧셈과 뺄셈이 이루어지는 실생활 상황과 연결하여 덧셈과 뺄셈의 의미를 말하고 그 상황을 덧셈식이나 뺄셈식으로 나타낼 수 있다.
[2수01-05],B,실생활 상황을 덧셈식이나 뺄셈식으로 나타낼 수 있다.
[2수01-05],C,안내된 절차에 따라 덧셈이 이루어지는 상황을 덧셈식으로 뺄셈이 이루어지는 상황을 뺄셈식으로 나타낼 수 있다.
[2수01-06],A,두 자리 수의 범위에서 덧셈과 뺄셈을 하고 그 계산 원리를 말할 수 있다.
[2수01-06],B,두 자리 수의 범위에서 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.
[2수01-06],C,안내된 절차에 따라 두 자리 수의 범위에서 간단한 덧셈과 뺄셈을 할 수 있다.
[2수01-07],A,한 가지 상황을 덧셈식과 뺄셈식으로 나타내고 그 상황과 연계해서 덧셈식과 뺄셈식의 관계를 말할 수 있다.
[2수01-07],B,한 가지 상황을 덧셈식과 뺄셈식으로 나타낼 수 있다.
[2수01-07],C,안내된 절차에 따라 덧셈식을 뺄셈식으로 뺄셈식을 덧셈식으로 나타낼 수 있다.
[2수01-08],A,두 자리 수의 범위에서 세 수의 덧셈과 뺄셈을 계산하고 그 방법을 말할 수 있다.
[2수01-08],B,두 자리 수의 범위에서 세 수의 덧셈과 뺄셈을 계산할 수 있다.
[2수01-08],C,안내된 절차에 따라 두 자리 수의 범위에서 간단한 세 수의 덧셈과 뺄셈을 할 수 있다.
[2수01-09],A,실생활 상황을 □가 사용된 덧셈식과 뺄셈식으로 나타내며 □의 값을 구하고 그 방법을 말할 수 있다.
[2수01-09],B,주어진 상황을 □가 사용된 덧셈식과 뺄셈식으로 나타내고 □의 값을 구할 수 있다.
[2수01-09],C,안내된 절차에 따라 □가 사용된 간단한 덧셈식과 뺄셈식에서 □의 값을 구할 수 있다.
[2수01-10],A,곱셈이 이루어지는 실생활 상황과 연결하여 곱셈의 의미를 말하고 그 상황을 곱셈식으로 나타낼 수 있다.
[2수01-10],B,곱셈이 이루어지는 실생활 상황을 곱셈식으로 나타낼 수 있다.
[2수01-10],C,안내된 절차에 따라 곱셈이 이루어지는 실생활 상황을 곱셈식으로 나타낼 수 있다.
[2수01-11],A,곱셈구구의 원리에 대한 이해를 바탕으로 한 자리 수의 곱셈을 하고 곱셈구구를 유창하게 말할 수 있다.
[2수01-11],B,곱셈구구의 원리에 대한 이해를 바탕으로 한 자리 수의 곱셈을 하고 곱셈구구를 말할 수 있다.
[2수01-11],C,안내된 절차에 따라 곱셈구구를 말할 수 있다.
