성취기준,수준,성취수준
[6수02-01],A,대응 관계를 나타낸 표에서 규칙을 찾아 □ △ 등을 사용하여 식으로 나타내고 그 방법과 수학적 표현의 편리함을 설명할 수 있다.
[6수02-01],B,대응 관계를 나타낸 표에서 규칙을 찾아 □ △ 등을 사용한 식으로 나타내고 그 과정에서 수학적 표현의 편리함을 안다.
[6수02-01],C,안내된 절차에 따라 대응 관계를 나타낸 표에서 규칙을 찾고 □ △ 등을 사용한 식을 완성할 수 있다.
[6수02-02],A,비가 적용되는 간단한 상황에서 두 양의 크기를 비교하여 비로 나타내고 그 과정에서 수학의 유용성을 인식한다.
[6수02-02],B,비의 개념을 이해하고 두 양의 크기를 비교하여 비로 나타낼 수 있다.
[6수02-02],C,안내된 절차에 따라 두 양의 크기를 비교하여 비로 나타낼 수 있다.
[6수02-03],A,비가 적용되는 간단한 상황에서 비율을 분수 소수 백분율로 나타내고 그 과정에서 수학의 유용성을 인식한다.
[6수02-03],B,비율의 의미를 이해하고 비율을 분수 소수 백분율로 나타낼 수 있다.
[6수02-03],C,안내된 절차에 따라 간단한 비율을 분수 소수 백분율로 나타낼 수 있다.
[6수02-04],A,비례식의 성질에 대한 이해를 바탕으로 비례식을 풀고 그 방법을 설명할 수 있다.
[6수02-04],B,비례식의 성질에 대한 이해를 바탕으로 간단한 비례식을 풀 수 있다.
[6수02-04],C,비례식을 알고 안내된 절차에 따라 간단한 비례식을 풀 수 있다.
[6수02-05],A,비례배분에 대한 이해를 바탕으로 실생활 상황에서 주어진 양을 비례배분하고 그 방법을 설명할 수 있다.
[6수02-05],B,비례배분을 알고 주어진 양을 비례배분 할 수 있다.
[6수02-05],C,비례배분을 알고 안내된 절차에 따라 간단한 비례배분을 할 수 있다.
