성취기준,수준,성취수준
[6수03-01],A,도형의 합동의 의미와 합동인 도형의 성질을 설명하고 실생활에서 찾은 합동인 도형의 예에서 수학의 아름다움을 느낀다.
[6수03-01],B,도형의 합동을 이해하고 합동인 도형의 성질을 탐구하며 그 과정에서 수학의 아름다움을 느낀다.
[6수03-01],C,합동인 도형을 찾고 직접 포개어 보는 활동을 통하여 합동인 도형에서 대응점 대응변 대응각을 찾을 수 있다.
[6수03-02],A,선대칭도형과 점대칭도형을 그리고 그 방법을 설명하며 실생활에서 찾은 선대칭도형과 점대칭도형의 예에서 수학의 아름다움을 느낀다.
[6수03-02],B,선대칭도형과 점대칭도형을 이해하고 그리며 그 과정에서 수학의 아름다움을 느낀다.
[6수03-02],C,구체적 조작 활동을 통하여 선대칭도형과 점대칭도형을 찾거나 그릴 수 있다.
[6수03-03],A,실생활에서 직육면체와 정육면체를 찾고 구성 요소와 여러 가지 성질을 탐구하고 설명할 수 있다.
[6수03-03],B,직육면체와 정육면체에서 면 모서리 꼭짓점을 찾고 성질을 설명할 수 있다.
[6수03-03],C,구체적 조작 활동을 통하여 직육면체와 정육면체에서 면 모서리 꼭짓점을 찾을 수 있다.
[6수03-04],A,직육면체와 정육면체의 겨냥도와 전개도를 그리고 구성 요소와 성질을 이용하여 그 방법을 설명할 수 있다.
[6수03-04],B,직육면체와 정육면체의 겨냥도와 전개도를 그리고 구체적 조작 활동을 통하여 전개도가 될 수 있는 것과 될 수 없는 것을 구별할 수 있다.
[6수03-04],C,일부가 주어진 직육면체와 정육면체의 겨냥도와 전개도를 완성할 수 있다.
[6수03-05],A,실생활에서 각기둥과 각뿔을 찾고 구성 요소와 여러 가지 성질을 탐구하고 설명할 수 있다.
[6수03-05],B,각기둥과 각뿔에서 면 모서리 꼭짓점을 찾고 성질을 설명할 수 있다.
[6수03-05],C,구체적 조작 활동을 통하여 각기둥과 각뿔에서 면 모서리 꼭짓점을 찾을 수 있다.
[6수03-06],A,각기둥의 전개도를 그리고 구성 요소와 성질을 이용하여 그 방법을 설명할 수 있다.
[6수03-06],B,각기둥의 전개도를 그리고 전개도가 될 수 있는 것과 될 수 없는 것을 구별할 수 있다.
[6수03-06],C,일부가 주어진 각기둥의 전개도를 완성할 수 있다.
[6수03-07],A,실생활에서 원기둥 원뿔 구를 찾고 구성 요소와 여러 가지 성질을 탐구하고 설명할 수 있다.
[6수03-07],B,원기둥 원뿔 구에서 구성 요소를 찾고 성질을 설명할 수 있다.
[6수03-07],C,구체적 조작 활동을 통하여 원기둥 원뿔 구에서 구성 요소를 찾을 수 있다.
[6수03-08],A,원기둥의 전개도를 그리고 그 방법을 설명할 수 있다.
[6수03-08],B,원기둥의 전개도를 그리고 전개도가 될 수 있는 것과 될 수 없는 것을 구별할 수 있다.
[6수03-08],C,일부가 주어진 원기둥의 전개도를 완성할 수 있다.
[6수03-09],A,쌓기나무로 만든 입체도형을 보고 사용된 쌓기나무의 개수를 여러 가지 방법으로 구하고 그 방법을 설명할 수 있다.
[6수03-09],B,쌓기나무로 만든 입체도형을 보고 사용된 쌓기나무의 개수를 구할 수 있다.
[6수03-09],C,안내된 절차에 따라 쌓기나무로 만든 간단한 입체도형을 보고 사용된 쌓기나무의 개수를 구할 수 있다.
[6수03-10],A,쌓기나무로 만든 입체도형의 위 앞 옆에서 본 모양을 표현하고 이러한 표현을 보고 입체도형의 모양을 추론하며 그 추론 과정을 설명할 수 있다.
[6수03-10],B,쌓기나무로 만든 입체도형의 위 앞 옆에서 본 모양을 표현하고 이러한 표현을 보고 입체도형의 모양을 추론할 수 있다.
[6수03-10],C,안내된 절차에 따라 쌓기나무로 만든 간단한 입체도형의 위 앞 옆에서 본 모양을 표현하고 이러한 표현을 보고 간단한 입체도형의 모양을 추측할 수 있다.
[6수03-11],A,여러 가지 평면도형의 둘레를 구하고 그 방법을 설명할 수 있다.
[6수03-11],B,평면도형의 둘레를 알고 기본적인 평면도형의 둘레를 구할 수 있다.
[6수03-11],C,안내된 절차에 따라 기본적인 평면도형의 둘레를 구할 수 있다.
[6수03-12],A,1cm²와 1m² 1m²와 1km² 사이의 관계를 설명하고 실생활 상황에서 적절한 넓이 단위를 사용할 수 있다.
[6수03-12],B,넓이 단위 1cm² 1m² 1km²를 알고 1cm²와 1m² 1m²와 1km² 사이의 관계를 설명할 수 있다.
[6수03-12],C,넓이 단위 1cm² 1m² 1km²를 알고 1m²가 몇 cm²인지 1km²가 몇 m²인지를 안다.
[6수03-13],A,직사각형과 정사각형의 넓이를 구하는 방법을 설명하고 이를 이용하여 직사각형과 정사각형의 넓이를 구할 수 있다.
[6수03-13],B,직사각형과 정사각형의 넓이를 구하는 방법을 이해하고 이를 이용하여 직사각형과 정사각형의 넓이를 구할 수 있다.
[6수03-13],C,안내된 절차에 따라 직사각형과 정사각형의 넓이를 구할 수 있다.
[6수03-14],A,평행사변형 삼각형 사다리꼴 마름모의 넓이를 구하는 여러 가지 방법을 추론하고 그 추론 과정을 설명하며 이를 이용하여 넓이를 구할 수 있다.
[6수03-14],B,평행사변형 삼각형 사다리꼴 마름모의 넓이를 구하는 방법을 이해하고 이를 이용하여 넓이를 구할 수 있다.
