성취기준,수준,성취수준
[6수01-01],A,덧셈 뺄셈 곱셈 나눗셈의 혼합 계산을 하고 계산하는 순서를 설명할 수 있다.
[6수01-01],B,덧셈 뺄셈 곱셈 나눗셈의 혼합 계산에서 계산하는 순서를 알고 그 계산을 할 수 있다.
[6수01-01],C,안내된 절차에 따라 덧셈 뺄셈 곱셈 나눗셈 중 일부가 섞여 있는 간단한 혼합 계산에서 계산하는 순서를 알고 그 계산을 할 수 있다.
[6수01-02],A,이상 이하 초과 미만의 의미와 쓰임을 알고 수의 범위를 활용하여 실생활 문제를 해결할 수 있다.
[6수01-02],B,실생활 상황에서 이상 이하 초과 미만을 사용하여 수의 범위를 나타낼 수 있다.
[6수01-02],C,안내된 절차에 따라 이상 이하 초과 미만을 사용하여 간단한 수의 범위를 나타낼 수 있다.
[6수01-03],A,올림 버림 반올림의 의미와 필요성을 알고 이를 활용하여 실생활 문제를 해결하며 이 과정에서 수학의 유용성을 설명할 수 있다.
[6수01-03],B,올림 버림 반올림을 사용하여 실생활의 여러 가지 수를 어림값으로 나타내고 이 과정에서 수학의 유용성을 인식한다.
[6수01-03],C,안내된 절차에 따라 올림 버림 반올림을 사용하여 수를 어림값으로 나타낼 수 있다.
[6수01-04],A,약수 공약수 최대공약수를 구하고 그 방법과 그들 사이의 관계를 설명할 수 있다.
[6수01-04],B,약수 공약수 최대공약수를 이해하고 주어진 수의 약수 공약수 최대공약수를 구할 수 있다.
[6수01-04],C,안내된 절차에 따라 주어진 수의 약수 공약수 최대공약수를 구할 수 있다.
[6수01-05],A,배수 공배수 최소공배수를 구하고 그 방법과 그들 사이의 관계를 설명할 수 있다.
[6수01-05],B,배수 공배수 최소공배수를 이해하고 주어진 수의 배수 공배수 최소공배수를 구할 수 있다.
[6수01-05],C,안내된 절차에 따라 주어진 수의 배수 공배수 최소공배수를 구할 수 있다.
[6수01-06],A,크기가 같은 분수에 대한 이해를 바탕으로 분수를 약분 통분하고 그 방법을 설명할 수 있다.
[6수01-06],B,크기가 같은 분수에 대한 이해를 바탕으로 주어진 분수와 크기가 같은 분수를 만들고 분수를 약분 통분할 수 있다.
[6수01-06],C,안내된 절차에 따라 주어진 분수와 크기가 같은 분수를 찾고 간단한 분수를 약분 통분할 수 있다.
[6수01-07],A,분모가 다른 분수의 크기를 여러 가지 방법으로 비교하고 그 방법을 설명할 수 있다.
[6수01-07],B,분모가 다른 분수를 통분하여 크기를 비교할 수 있다.
[6수01-07],C,안내된 절차에 따라 분모가 다른 분수의 크기를 비교할 수 있다.
[6수01-08],A,분모가 다른 분수의 덧셈과 뺄셈을 계산하고 그 계산 원리를 설명할 수 있다.
[6수01-08],B,분모가 다른 분수의 덧셈과 뺄셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.
[6수01-08],C,안내된 절차에 따라 분모가 다른 간단한 분수의 덧셈과 뺄셈을 할 수 있다.
[6수01-09],A,'(분수)×(자연수)' '(자연수)×(분수)' '(분수)×(분수)'를 계산하고 그 계산 원리를 설명할 수 있다.
[6수01-09],B,'(분수)×(자연수)' '(자연수)×(분수)' '(분수)×(분수)'의 계산 원리를 탐구하고 그 계산을 할 수 있다.
[6수01-09],C,안내된 절차에 따라 간단한 '(분수)×(자연수)' '(자연수)×(분수)' '(분수)×(분수)'의 계산을 할 수 있다.
[6수01-10],A,'(자연수)÷(자연수)'의 몫을 분수로 나타내고 그 방법을 설명할 수 있다.
[6수01-10],B,'(자연수)÷(자연수)'의 몫을 분수로 나타낼 수 있다.
[6수01-10],C,안내된 절차에 따라 '(자연수)÷(자연수)'의 몫을 분수로 나타낼 수 있다.
[6수01-11],A,'(분수)÷(자연수)' '(자연수)÷(분수)' '(분수)÷(분수)'를 계산하고 그 계산 원리를 설명할 수 있다.
