성취기준,수준,성취수준
[9수02-01],A,"다양한 상황을 문자를 사용한 식으로 나타낼 수 있으며 문자의 특징을 이해하여 문자를 사용한 식의 유용성을 인식하고, 식의 값을 구할 수 있다."
[9수02-01],B,"다양한 상황을 문자를 사용한 식으로 나타낼 수 있으며 문자의 특징을 이해하여 문자를 사용한 식의 유용성을 인식하고, 식의 값을 구할 수 있다."
[9수02-01],C,"간단한 상황을 문자를 사용한 식으로 나타낼 수 있으며 문자를 사용한 식의 유용성을 알고, 식의 값을 구할 수 있다."
[9수02-01],D,"간단한 상황을 문자를 사용한 식으로 나타낼 수 있으며 문자를 사용한 식의 유용성을 알고, 식의 값을 구할 수 있다."
[9수02-01],E,문자를 사용하여 나타낸 간단한 식의 값을 구할 수 있다.
[9수02-02],A,"일차식의 덧셈과 뺄셈의 원리를 이해하고 설명할 수 있으며, 그 계산을 하며 과정을 설명할 수 있다."
[9수02-02],B,"일차식의 덧셈과 뺄셈의 원리를 이해하고, 그 계산을 하며 과정을 설명할 수 있다."
[9수02-02],C,"일차식의 덧셈과 뺄셈의 원리를 알고, 그 계산을 할 수 있다."
[9수02-02],D,"일차식의 덧셈과 뺄셈의 원리를 알고, 간단한 계산을 할 수 있다."
[9수02-02],E,간단한 일차식의 덧셈과 뺄셈을 할 수 있다.
[9수02-03],A,"방정식과 그 해의 뜻을 알고 방정식과 항등식, 다항식을 구별하여 설명할 수 있으며, 등식의 성질을 이해하여 설명할 수 있다."
[9수02-03],B,"방정식과 그 해의 뜻을 알고, 등식의 성질을 이해하여 설명할 수 있다."
[9수02-03],C,"방정식과 그 해의 뜻을 알고, 등식의 성질을 말할 수 있다."
[9수02-03],D,"주어진 수가 방정식의 해인지 아닌지를 판단할 수 있으며, 등식의 성질 중 일부를 말할 수 있다."
[9수02-03],E,"안내된 절차에 따라 주어진 수가 방정식의 해인지 아닌지를 판단할 수 있으며, 등식의 성질 중 일부를 말할 수 있다."
[9수02-04],A,"일차방정식을 풀고 그 과정을 설명할 수 있으며, 이를 활용하여 다양한 문제를 해결할 수 있다."
[9수02-04],B,"일차방정식을 풀 수 있고, 이를 활용하여 간단한 문제를 해결할 수 있다."
[9수02-04],C,"일차방정식을 풀 수 있고, 이를 활용하여 간단한 문제를 해결할 수 있다."
[9수02-04],D,"간단한 일차방정식을 풀 수 있고, 문제의 뜻에 맞는 간단한 일차방정식을 세울 수 있다."
