성취기준,수준,성취수준
[9수04-01],A,"중앙값, 최빈값의 뜻과 각 대푯값이 유용하게 사용되는 상황을 설명하고, 자료의 특성에 적절한 대푯값을 선택하여 구할 수 있으며, 중앙값과 최빈값이 사용되는 예를 찾고 그 필요성을 인식한다."
[9수04-01],B,"중앙값, 최빈값의 뜻을 설명하고, 자료의 특성에 적절한 대푯값을 선택하여 구할 수 있으며, 중앙값과 최빈값이 유용하게 사용되는 예를 통해 그 필요성을 인식한다."
[9수04-01],C,"중앙값, 최빈값의 뜻을 알고, 주어진 자료의 특성에 적절한 대푯값을 선택하여 구할 수 있으며, 중앙값과 최빈값의 필요성을 인식한다."
[9수04-01],D,"중앙값, 최빈값의 뜻을 알고, 주어진 자료에서 중앙값, 최빈값을 구할 수 있다."
[9수04-01],E,"간단한 자료에서 중앙값, 최빈값을 구할 수 있다."
[9수04-02],A,"다양한 상황의 자료를 수집하여 줄기와 잎 그림, 도수분포표, 히스토그램, 도수분포다각형으로 나타낼 수 있고 그 과정을 설명할 수 있으며, 이를 보고 자료의 분포의 특징을 해석할 수 있다."
[9수04-02],B,"자료를 수집하여 줄기와 잎 그림, 도수분포표, 히스토그램, 도수분포다각형으로 나타낼 수 있고, 이를 보고 자료의 분포 특징을 해석할 수 있다."
[9수04-02],C,"주어진 자료를 줄기와 잎 그림, 도수분포표, 히스토그램, 도수분포다각형으로 나타낼 수 있으며, 이를 보고 자료의 분포 특징을 해석할 수 있다."
[9수04-02],D,"간단한 자료를 줄기와 잎 그림, 도수분포표, 히스토그램, 도수분포다각형으로 나타낼 수 있고, 이를 보고 자료의 분포 특징을 부분적으로 해석할 수 있다."
[9수04-02],E,"줄기와 잎 그림, 도수분포표, 히스토그램, 도수분포다각형에 나타난 자료의 분포 특징을 부분적으로 찾을 수 있다."
[9수04-03],A,"다양한 상황의 자료를 수집하여 상대도수의 분포를 표나 그래프로 나타내고 그 과정을 설명할 수 있으며, 자료의 특징을 합리적으로 해석하고. 상대도수가 유용하게 사용되는 상황을 찾는 활동을 통해 그 필요성과 유용성을 인식한다."
[9수04-03],B,"자료를 수집하여 상대도수의 분포를 표나 그래프로 나타내고, 자료의 특징을 합리적으로 해석할 수 있으며, 상대도수가 사용되는 예를 통해 필요성과 유용성을 인식한다."
[9수04-03],C,"상대도수를 구하여 상대도수의 분포를 표나 그래프로 나타내고, 자료의 특징을 부분적으로 해석할 수 있으며, 상대도수가 사용되는 예를 통해 필요성과 유용성을 인식한다."
[9수04-03],D,"도수분포표에서 상대도수를 구할 수 있고, 상대도수의 분포를 표나 그래프로 나타낼 수 있다."
[9수04-03],E,도수분포표에서 상대도수를 구할 수 있다.
[9수04-04],A,"다양한 상황에서 해결하고자 하는 탐구 문제를 설정하고, 적절한 계획을 세워 공학 도구를 이용하여 자료를 수집, 분석하고 그 결과를 탐구 문제와 연결하여 해석하는 등 통계적 문제해결 과정에 주도적으로 참여하며, 이러한 과정에서 체계적으로 사고하고 합리적으로 의사 결정을 한다."
[9수04-04],B,"다양한 상황에서 해결하고자 하는 탐구 문제를 설정하고, 적절한 계획을 세워 공학 도구를 이용하여 자료를 수집, 분석하고 그 결과를 탐구 문제와 연결하여 해석하는 등 통계적 문제해결 과정에 주도적으로 참여하며, 이러한 과정에서 체계적으로 사고하고 합리적으로 의사 결정을 한다."
[9수04-04],C,"통계적 탐구 문제를 설정하고, 공학 도구를 이용하여 문제해결에 필요한 자료를 수집, 분석하며 그 결과를 탐구 문제와 연결하여 해석할 수 있다."
[9수04-04],D,"통계적 탐구 문제를 설정하고, 공학 도구를 이용하여 문제해결에 필요한 자료를 수집, 분석하며 그 결과를 탐구 문제와 연결하여 해석할 수 있다."
[9수04-04],E,"안내된 절차에 따라 탐구 문제를 설정하고, 공학 도구를 이용하여 필요한 자료를 수집, 분석하며, 그 결과를 부분적으로 해석할 수 있다."
[9수04-05],A,사건 A 또는 사건 B가 일어나는 경우의 수와 사건 A와 사건 B가 동시에 일어나는 경우의 수를 구하고 그 과정을 설명할 수 있다.
[9수04-05],B,사건 A 또는 사건 B가 일어나는 경우의 수와 사건 A와 사건 B가 동시에 일어나는 경우의 수를 구하고 그 과정을 설명할 수 있다.
[9수04-05],C,사건 A 또는 사건 B가 일어나는 경우의 수와 사건 A와 사건 B가 동시에 일어나는 경우의 수를 구할 수 있다.
[9수04-05],D,사건 A 또는 사건 B가 일어나는 경우의 수와 사건 A와 사건 B가 동시에 일어나는 경우의 수를 구할 수 있다.
[9수04-05],E,간단한 상황에서 주어진 사건이 일어나는 경우의 수를 구할 수 있다.
[9수04-06],A,"확률의 개념과 확률의 기본 성질을 설명할 수 있고, 다양한 상황에서 일어날 수 있는 사건의 확률을 구하고 그 과정을 설명할 수 있다."
[9수04-06],B,"확률의 개념과 확률의 기본 성질을 이해하고, 주어진 상황에서 일어날 수 있는 사건의 확률을 구하고, 그 과정을 설명할 수 있다."
[9수04-06],C,"확률의 개념과 확률의 기본 성질을 이해하고, 사건 A 또는 사건 B가 일어날 확률과 사건 A와 사건 B가 동시에 일어날 확률을 구하고 그 과정을 설명할 수 있다."
[9수04-06],D,"확률의 개념과 확률의 기본 성질을 알고, 사건 A 또는 사건 B가 일어날 확률과 사건 A와 사건 B가 동시에 일어날 확률을 구할 수 있다."
[9수04-06],E,간단한 상황에서 주어진 사건이 일어날 확률을 구할 수 있다.
[9수04-07],A,"산포도, 편차, 분산, 표준편차의 뜻을 설명할 수 있고, 다양한 상황에서 두 집단의 자료를 수집하여 분산과 표준편차를 구할 수 있으며, 이를 통해 두 집단의 자료의 분포를 비교하여 설명할 수 있다."
[9수04-07],B,"산포도, 편차, 분산, 표준편차의 뜻을 설명할 수 있고, 두 집단의 자료에 대한 분산과 표준편차를 구하여 두 집단의 자료의 분포를 비교하여 설명할 수 있다."
[9수04-07],C,"산포도, 편차, 분산, 표준편차의 뜻을 알고, 주어진 자료의 분산과 표준편차를 구할 수 있으며, 이를 통해 자료의 분포 특징을 설명할 수 있다."
[9수04-07],D,"분산, 표준편차의 뜻을 알고, 간단한 자료의 분산과 표준편차를 구할 수 있다."
[9수04-07],E,안내된 절차에 따라 주어진 자료의 분산과 표준편차를 구할 수 있다.
[9수04-08],A,"다양한 상황에서 두 집단의 자료를 수집하고, 공학 도구를 이용하여 사분위수를 구하고 상자그림으로 나타낼 수 있으며, 상자그림을 보고 두 집단의 분포를 비교하여 해석할 수 있고, 이러한 과정에서 상자그림의 유용성 및 공학 도구의 편리함과 유용성을 인식한다."
[9수04-08],B,"두 집단의 자료를 수집하고, 공학 도구를 이용하여 사분위수를 구하고 상자그림으로 나타낼 수 있으며, 상자그림을 보고 두 집단의 분포를 비교하여 해석할 수 있고, 이러한 과정에서 상자그림과 공학 도구의 유용성을 인식한다."
[9수04-08],C,"공학 도구를 이용하여 두 집단의 자료에서 사분위수를 구하고, 이를 상자그림으로 나타내어 두 집단의 분포를 비교할 수 있으며, 이러한 과정에서 상자그림의 유용성을 인식한다."
[9수04-08],D,"주어진 자료를 공학 도구를 이용하여 사분위수를 구하고 상자그림으로 나타낼 수 있으며, 상자그림을 보고 분포의 특징을 설명할 수 있다."
[9수04-08],E,상자그림을 보고 자료의 분포의 특징을 부분적으로 설명할 수 있다.
[9수04-09],A,"산점도와 상관관계의 뜻을 설명하고, 다양한 상황의 자료를 수집하여 산점도로 나타낼 수 있으며, 산점도를 보고 자료를 해석하여 두 변량 사이의 상관관계를 말할 수 있다."
[9수04-09],B,"산점도와 상관관계의 뜻을 설명하고, 다양한 상황의 자료를 수집하여 산점도로 나타낼 수 있으며, 산점도를 보고 자료를 해석하여 두 변량 사이의 상관관계를 말할 수 있다."
[9수04-09],C,"산점도와 상관관계의 뜻을 알고, 자료를 산점도로 나타낼 수 있으며, 산점도를 보고 두 변량 사이의 상관관계를 말할 수 있다."
[9수04-09],D,"산점도와 상관관계의 뜻을 알고, 자료를 산점도로 나타낼 수 있으며, 산점도를 보고 두 변량 사이의 상관관계를 말할 수 있다."
[9수04-09],E,주어진 산점도를 보고 두 변량 사이의 상관관계를 말할 수 있다.
