standard_id,standard_code,level_id,domain_id,element_id,standard_title,standard_content,standard_order
1,2수01-01,1,1,1,네 자리 이하의 수,"수의 필요성을 인식하면서 0과 100까지의 수 개념을 이해하고, 수를 세고 읽고 쓸 수 있다.",1
2,2수01-02,1,1,1,네 자리 이하의 수,"일, 십, 백, 천의 자릿값과 위치적 기수법을 이해하고, 네 자리 이하의 수를 읽고 쓸 수 있다.",2
3,2수01-03,1,1,1,네 자리 이하의 수,"네 자리 이하의 수의 범위에서 수의 계열을 이해하고, 수의 크기를 비교할 수 있다.",3
4,2수01-04,1,1,1,네 자리 이하의 수,"하나의 수를 두 수로 분해하고 두 수를 하나의 수로 합성하는 활동을 통하여 수 감각을 기른다.",4
5,2수01-05,1,1,2,두 자리 수 범위의 덧셈과 뺄셈,"덧셈과 뺄셈이 이루어지는 실생활 상황과 연결하여 덧셈과 뺄셈의 의미를 이해한다.",1
6,2수01-06,1,1,2,두 자리 수 범위의 덧셈과 뺄셈,"두 자리 수의 범위에서 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.",2
7,2수01-07,1,1,2,두 자리 수 범위의 덧셈과 뺄셈,"덧셈과 뺄셈의 관계를 이해한다.",3
8,2수01-08,1,1,2,두 자리 수 범위의 덧셈과 뺄셈,"두 자리 수의 범위에서 세 수의 덧셈과 뺄셈을 할 수 있다.",4
9,2수01-09,1,1,2,두 자리 수 범위의 덧셈과 뺄셈,"□가 사용된 덧셈식과 뺄셈식을 만들고, □의 값을 구할 수 있다.",5
10,2수01-10,1,1,3,한 자리 수의 곱셈,"곱셈이 이루어지는 실생활 상황과 연결하여 곱셈의 의미를 이해한다.",1
11,2수01-11,1,1,3,한 자리 수의 곱셈,"곱셈구구를 이해하고, 한 자리 수의 곱셈을 할 수 있다.",2
12,2수02-01,1,2,4,규칙 찾기,"물체, 무늬, 수 등의 배열에서 규칙을 찾아 여러 가지 방법으로 표현할 수 있다.",1
13,2수02-02,1,2,4,규칙 찾기,"자신이 정한 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다.",2
14,2수03-01,1,3,5,입체도형의 모양,"교실 및 생활 주변에서 여러 가지 물건을 관찰하여 직육면체, 원기둥, 구의 모양을 찾고, 이를 이용하여 여러 가지 모양을 만들 수 있다.",1
15,2수03-02,1,3,5,입체도형의 모양,"쌓기나무를 이용하여 여러 가지 입체도형의 모양을 만들고, 그 모양에 대해 위치나 방향을 이용하여 말할 수 있다.",2
16,2수03-03,1,3,6,평면도형과 그 구성 요소,"교실 및 생활 주변에서 여러 가지 물건을 관찰하여 삼각형, 사각형, 원의 모양을 찾고, 이를 이용하여 여러 가지 모양을 만들 수 있다.",1
17,2수03-04,1,3,6,평면도형과 그 구성 요소,"삼각형, 사각형, 원을 직관적으로 이해하고, 그 모양을 그릴 수 있다.",2
18,2수03-05,1,3,6,평면도형과 그 구성 요소,"삼각형, 사각형에서 각각의 공통점을 찾아 말할 수 있다.",3
19,2수03-06,1,3,7,양의 비교,"구체물의 길이, 들이, 무게, 넓이를 비교하여 각각 '길다, 짧다', '많다, 적다', '무겁다, 가볍다', '넓다, 좁다' 등을 구별하여 말할 수 있다.",1
20,2수03-07,1,3,8,시각과 시간,"시계를 보고 시각을 '몇 시 몇 분'까지 읽을 수 있다.",1
21,2수03-08,1,3,8,시각과 시간,"1시간과 1분의 관계를 이해하고, 시간을 '시간', '분'으로 표현할 수 있다.",2
22,2수03-09,1,3,8,시각과 시간,"실생활 문제 상황과 연결하여 1분, 1시간, 1일, 1주일, 1개월, 1년 사이의 관계를 이해한다.",3
23,2수03-10,1,3,9,길이,"길이 단위 1cm와 1m를 알고, 이를 이용하여 주변 사물의 길이를 측정할 수 있다.",1
24,2수03-11,1,3,9,길이,"1m와 1cm의 관계를 이해하고, 길이를 '몇 m 몇 cm'와 '몇 cm'로 표현할 수 있다.",2
25,2수03-12,1,3,9,길이,"여러 가지 물건의 길이를 어림하고, 길이에 대한 양감을 기른다.",3
26,2수03-13,1,3,9,길이,"실생활 문제 상황과 연결하여 길이의 덧셈과 뺄셈을 할 수 있다.",4
27,2수04-01,1,4,10,자료의 정리,"여러 가지 사물을 정해진 기준 또는 자신이 정한 기준으로 분류하여 개수를 세어 보고, 기준에 따른 결과를 말할 수 있다.",1
28,2수04-02,1,4,10,자료의 정리,"자료를 분류하여 표로 나타내고, 자료를 표로 나타내면 편리한 점을 말할 수 있다.",2
29,2수04-03,1,4,10,자료의 정리,"자료를 분류하여 ○, ×, / 등을 이용한 그래프로 나타내고, 자료를 그래프로 나타내면 편리한 점을 말할 수 있다.",3
