standard_id,standard_code,level_id,domain_id,element_id,standard_title,standard_content,standard_order
122,9수01-01,4,1,54,소인수분해,"소인수분해의 뜻을 알고, 자연수를 소인수분해 할 수 있다.",1
123,9수01-02,4,1,54,소인수분해,"소인수분해를 이용하여 최대공약수와 최소공배수를 구할 수 있다.",2
124,9수01-03,4,1,55,정수와 유리수,"다양한 상황을 이용하여 음수의 필요성을 인식하고, 양수와 음수, 정수와 유리수의 개념을 이해한다.",1
125,9수01-04,4,1,55,정수와 유리수,"정수와 유리수의 대소 관계를 판단할 수 있다.",2
126,9수01-05,4,1,55,정수와 유리수,"정수와 유리수의 사칙계산의 원리를 이해하고, 그 계산을 할 수 있다.",3
127,9수01-06,4,1,56,유리수와 순환소수,"순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",1
128,9수01-07,4,1,57,제곱근과 실수,"제곱근의 뜻과 성질을 알고, 제곱근의 대소 관계를 판단할 수 있다.",1
129,9수01-08,4,1,57,제곱근과 실수,"무리수의 개념을 이해하고, 무리수의 유용성을 인식할 수 있다.",2
130,9수01-09,4,1,57,제곱근과 실수,"실수의 대소 관계를 판단하고 설명할 수 있다.",3
131,9수01-10,4,1,57,제곱근과 실수,"근호를 포함한 식의 사칙계산의 원리를 이해하고, 그 계산을 할 수 있다.",4
132,9수02-01,4,2,58,문자의 사용과 식,"다양한 상황을 문자를 사용한 식으로 나타내어 그 유용성을 인식하고, 식의 값을 구할 수 있다.",1
133,9수02-02,4,2,58,문자의 사용과 식,"일차식의 덧셈과 뺄셈의 원리를 이해하고, 그 계산을 할 수 있다.",2
134,9수02-03,4,2,59,일차방정식,"방정식과 그 해의 뜻을 알고, 등식의 성질을 설명할 수 있다.",1
135,9수02-04,4,2,59,일차방정식,"일차방정식을 풀 수 있고, 이를 활용하여 문제를 해결할 수 있다.",2
136,9수02-05,4,2,60,좌표평면과 그래프,"순서쌍과 좌표를 이해하고, 그 편리함을 인식할 수 있다.",1
137,9수02-06,4,2,60,좌표평면과 그래프,"다양한 상황을 그래프로 나타내고, 주어진 그래프를 해석할 수 있다.",2
138,9수02-07,4,2,60,좌표평면과 그래프,"정비례, 반비례 관계를 이해하고, 그 관계를 표, 식, 그래프로 나타낼 수 있다.",3
139,9수02-08,4,2,61,식의 계산,"지수법칙을 이해하고, 이를 이용하여 식을 간단히 할 수 있다.",1
140,9수02-09,4,2,61,식의 계산,"다항식의 덧셈과 뺄셈의 원리를 이해하고, 그 계산을 할 수 있다.",2
141,9수02-10,4,2,61,식의 계산,"'(단항식)×(다항식)', '(다항식)÷(단항식)'과 같은 곱셈과 나눗셈의 원리를 이해하고, 그 계산을 할 수 있다.",3
142,9수02-11,4,2,62,일차부등식,"부등식과 그 해의 뜻을 알고, 부등식의 성질을 설명할 수 있다.",1
143,9수02-12,4,2,62,일차부등식,"일차부등식을 풀 수 있고, 이를 활용하여 문제를 해결할 수 있다.",2
144,9수02-13,4,2,63,연립일차방정식,"미지수가 2개인 연립일차방정식을 풀 수 있고, 이를 활용하여 문제를 해결할 수 있다.",1
145,9수02-14,4,2,64,일차함수와 그 그래프,"함수의 개념을 이해하고, 함숫값을 구할 수 있다.",1
146,9수02-15,4,2,64,일차함수와 그 그래프,"일차함수의 개념을 이해하고, 그 그래프를 그릴 수 있다.",2
147,9수02-16,4,2,64,일차함수와 그 그래프,"일차함수의 그래프의 성질을 이해하고, 이를 활용하여 문제를 해결할 수 있다.",3
148,9수02-17,4,2,65,일차함수와 일차방정식의 관계,"일차함수와 미지수가 2개인 일차방정식의 관계를 설명할 수 있다.",1
149,9수02-18,4,2,65,일차함수와 일차방정식의 관계,"두 일차함수의 그래프와 연립일차방정식의 관계를 설명할 수 있다.",2
150,9수02-19,4,2,66,다항식의 곱셈과 인수분해,"다항식의 곱셈과 인수분해를 할 수 있다.",1
151,9수02-20,4,2,67,이차방정식,"이차방정식을 풀 수 있고, 이를 활용하여 문제를 해결할 수 있다.",1
152,9수02-21,4,2,68,이차함수와 그 그래프,"이차함수의 개념을 이해한다.",1
153,9수02-22,4,2,68,이차함수와 그 그래프,"이차함수의 그래프를 그릴 수 있고, 그 성질을 설명할 수 있다.",2
154,9수03-01,4,3,69,기본 도형,"점, 선, 면, 각을 이해하고, 실생활 상황과 연결하여 점, 직선, 평면의 위치 관계를 설명할 수 있다.",1
155,9수03-02,4,3,69,기본 도형,"평행선에서 동위각과 엇각의 성질을 이해하고 설명할 수 있다.",2
156,9수03-03,4,3,70,작도와 합동,"삼각형을 작도하고, 그 과정을 설명할 수 있다.",1
157,9수03-04,4,3,70,작도와 합동,"삼각형의 합동 조건을 이해하고, 이를 이용하여 두 삼각형이 합동인지 판별할 수 있다.",2
158,9수03-05,4,3,71,평면도형의 성질,"다각형의 성질을 이해하고 설명할 수 있다.",1
159,9수03-06,4,3,71,평면도형의 성질,"부채꼴의 중심각과 호의 관계를 이해하고, 이를 이용하여 부채꼴의 호의 길이와 넓이를 구할 수 있다.",2
160,9수03-07,4,3,72,입체도형의 성질,"구체적인 모형이나 공학 도구를 이용하여 다면체와 회전체의 성질을 탐구하고, 이를 설명할 수 있다.",1
161,9수03-08,4,3,72,입체도형의 성질,"입체도형의 겉넓이와 부피를 구할 수 있다.",2
162,9수03-09,4,3,73,삼각형과 사각형의 성질,"이등변삼각형의 성질을 이해하고 정당화할 수 있다.",1
163,9수03-10,4,3,73,삼각형과 사각형의 성질,"삼각형의 외심과 내심의 성질을 이해하고 정당화할 수 있다.",2
164,9수03-11,4,3,73,삼각형과 사각형의 성질,"사각형의 성질을 이해하고 정당화할 수 있다.",3
165,9수03-12,4,3,74,도형의 닮음,"도형의 닮음의 뜻과 닮은 도형의 성질을 이해하고, 닮음비를 구할 수 있다.",1
166,9수03-13,4,3,74,도형의 닮음,"삼각형의 닮음 조건을 이해하고, 이를 이용하여 두 삼각형이 닮음인지 판별할 수 있다.",2
167,9수03-14,4,3,74,도형의 닮음,"평행선 사이의 선분의 길이의 비를 구할 수 있다.",3
168,9수03-15,4,3,75,피타고라스 정리,"피타고라스 정리를 이해하고 정당화할 수 있다.",1
169,9수03-16,4,3,76,삼각비,"삼각비의 뜻을 알고, 간단한 삼각비의 값을 구할 수 있다.",1
170,9수03-17,4,3,76,삼각비,"삼각비를 활용하여 여러 가지 문제를 해결할 수 있다.",2
171,9수03-18,4,3,77,원의 성질,"원의 현에 관한 성질과 접선에 관한 성질을 이해하고 정당화할 수 있다.",1
172,9수03-19,4,3,77,원의 성질,"원주각의 성질을 이해하고 정당화할 수 있다.",2
173,9수04-01,4,4,78,대푯값,"중앙값, 최빈값의 뜻을 알고, 자료의 특성에 따라 적절한 대푯값을 선택하여 구할 수 있다.",1
174,9수04-02,4,4,79,도수분포표와 상대도수,"자료를 줄기와 잎 그림, 도수분포표, 히스토그램, 도수분포다각형으로 나타내고 해석할 수 있다.",1
175,9수04-03,4,4,79,도수분포표와 상대도수,"상대도수를 구하고, 상대도수의 분포를 표나 그래프로 나타내고 해석할 수 있다.",2
176,9수04-04,4,4,79,도수분포표와 상대도수,"통계적 탐구 문제를 설정하고, 공학 도구를 이용하여 자료를 수집하여 분석하고, 그 결과를 해석할 수 있다.",3
177,9수04-05,4,4,80,경우의 수와 확률,"경우의 수를 구할 수 있다.",1
178,9수04-06,4,4,80,경우의 수와 확률,"확률의 개념과 그 기본 성질을 이해하고, 확률을 구할 수 있다.",2
179,9수04-07,4,4,81,산포도,"분산과 표준편차를 구하고 자료의 분포를 설명할 수 있다.",1
180,9수04-08,4,4,82,상자그림과 산점도,"공학 도구를 이용하여 자료를 상자그림으로 나타내고 분포를 비교할 수 있다.",1
181,9수04-09,4,4,82,상자그림과 산점도,"자료를 산점도로 나타내고 상관관계를 말할 수 있다.",2
