explanation_id,standard_id,explanation_type,explanation_content
1,6,성취기준 해설,"덧셈은 두 자리 수의 범위에서 다루되, 합이 세 자리 수인 경우도 포함한다."
2,1,적용시 고려사항,"자연수가 개수, 순서, 이름 등을 나타내는 경우가 있음을 알고, 실생활에서 수가 사용되는 사례를 통하여 네 자리 이하의 수의 필요성을 인식하게 한다."
3,2,적용시 고려사항,"두 자리 수를 10개씩 묶음과 낱개로 나타내게 함으로써 위치적 기수법의 기초 개념을 형성하게 한다."
4,2,적용시 고려사항,"저학년 학생들의 한글 학습 정도를 고려하여 수를 '여덟', '마흔아홉', '칠십육', '첫째' 등과 같이 한글로 쓰게 하는 것은 지양한다."
5,3,적용시 고려사항,"수 세기가 필요한 장면에서 묶어 세기, 뛰어 세기의 방법으로 수를 세어 보게 한다."
6,3,적용시 고려사항,"짝수와 홀수는 20 이하의 수의 범위에서 다루고, 실생활 상황에서 둘씩 묶어 보는 활동을 통하여 짝수와 홀수를 직관적으로 이해하게 한다."
7,2,적용시 고려사항,"십의 자리 수가 0인 세 자리 수, 백의 자리 수나 십의 자리 수가 0인 네 자리 수를 활용하여 자릿값을 이해하게 할 수 있다."
8,4,적용시 고려사항,"수를 분해하고 합성하는 활동은 20 이하의 수의 범위에서 한다."
9,5,적용시 고려사항,"'~보다 ~만큼 더 큰 수', '~보다 ~만큼 더 작은 수', '더한다', '합한다', '뺀다', '덜어 낸다', '합', '차' 등의 일상용어를 사용하여 덧셈과 뺄셈의 의미에 친숙하게 한다."
10,6,적용시 고려사항,"한 자리 수인 두 수를 바꾸어 더해 보고 그 결과를 비교하는 활동을 통하여 덧셈의 교환법칙을 직관적으로 이해하게 한다."
11,6,적용시 고려사항,"덧셈과 뺄셈을 여러 가지 방법으로 계산하는 활동을 통하여 연산 감각을 기르게 하되, 이를 지나치게 형식화하여 다루지 않는다."
12,5,적용시 고려사항,"학생들에게 친근한 실생활 상황을 이용하여 덧셈과 뺄셈에 관련된 문제를 만들고 해결하게 한다."
13,9,적용시 고려사항,"덧셈식, 뺄셈식, 곱셈식에서 등호($=$)의 양쪽에 있는 양이 서로 같음을 이해하게 한다."
14,7,적용시 고려사항,"한 가지 상황을 간단한 덧셈식과 뺄셈식으로 나타내는 활동을 통하여 덧셈과 뺄셈의 관계를 이해하게 한다."
15,8,적용시 고려사항,"세 수의 덧셈에서는 세 수를 앞에서부터 순서대로 더한 결과와 합이 10이 되는 두 수를 먼저 더하고 나머지 수를 더한 결과를 비교하는 활동을 통하여 덧셈의 결합법칙을 직관적으로 이해하게 한다."
16,9,적용시 고려사항,"$\square$가 사용된 덧셈식과 뺄셈식은 $\square$의 값을 직관적으로 구할 수 있는 수준으로 다룬다."
17,10,적용시 고려사항,"곱셈의 의미는 배의 개념과 동수누가를 통하여 다루고, 1의 곱과 0의 곱은 실생활과 관련지어 다룬다."
18,11,적용시 고려사항,"곱셈표를 이용해서 두 수를 바꾸어 곱해도 곱이 같음을 비교하는 활동을 통하여 곱셈의 교환법칙을 직관적으로 이해하게 한다."
