explanation_id,standard_id,explanation_type,explanation_content
1,123,성취기준 해설,"초등학교에서 학습한 최대공약수와 최소공배수의 개념을 바탕으로 소인수분해를 이용하여 최대공약수와 최소공배수를 구하게 한다. 최대공약수와 최소공배수는 자연수의 소인수분해를 이용하는 범위에서 다루고, 최대공약수와 최소공배수의 활용 문제는 다루지 않는다."
2,126,성취기준 해설,"정수의 사칙계산의 원리는 여러 가지 모델을 이용하여 직관적으로 이해하게 하고, 실생활에서 사칙계산의 유용성을 인식하게 한다."
3,127,성취기준 해설,"순환소수를 분수로 고치는 것은 순환소수가 유리수임을 이해할 수 있는 정도로 다룬다. 유한소수를 순환소수로 나타내는 것은 다루지 않는다."
4,129,성취기준 해설,"실생활에서 사용되는 무리수의 예를 찾아보는 활동을 통해 무리수의 필요성과 유용성을 인식하게 한다. 실수는 유리수와 무리수로 이루어짐을 이해하게 하고, 수 체계의 논리적인 아름다움에 관심을 갖게 한다."
5,136,성취기준 해설,"실생활에서 좌표가 사용되는 예를 찾아보고 이를 수직선과 좌표평면 위에 표현해 보며, 그 유용성과 편리함을 인식하게 한다."
6,137,성취기준 해설,"다양한 상황을 그래프로 나타내어 증가와 감소, 주기적 변화 등 변화 상태를 쉽게 파악할 수 있게 한다. 주어진 그래프를 해석하여 그래프가 나타내는 상황을 설명하게 함으로써 그래프의 유용성을 인식하게 한다."
7,138,성취기준 해설,"속력과 거리, 속력과 시간과 같은 실생활의 예를 통해 정비례와 반비례 관계를 직관적으로 이해하게 하고, 정비례와 반비례 관계가 성립하는 실생활의 예를 찾아 설명하게 한다."
8,139,성취기준 해설,"지수법칙은 지수가 자연수인 범위에서 단항식의 곱셈과 나눗셈을 하는 데 필요한 정도로 다룬다."
9,141,성취기준 해설,"다항식의 나눗셈에서는 다항식을 단항식으로 나누어 그 몫이 다항식이 되는 경우만 다룬다."
10,150,성취기준 해설,"다항식의 곱셈과 다항식의 인수분해의 역관계를 이해하고, 이와 유사한 관계를 찾아보는 활동을 하게 한다. 다항식의 곱셈과 인수분해는 다음의 경우를 다룬다: $(a+b)^2=a^2+2ab+b^2$, $(a-b)^2=a^2-2ab+b^2$, $(a+b)(a-b)=a^2-b^2$, $x^2+(a+b)x+ab=(x+a)(x+b)$, $ax^2+bx+c=a(x-p)(x-q)$ (단, $p$, $q$는 $ax^2+bx+c=0$의 두 근)"
11,153,성취기준 해설,"이차함수 $y=ax^2+bx+c$에서 최댓값과 최솟값은 $x$의 범위가 실수 전체인 경우만 다룬다."
12,154,성취기준 해설,"점, 선, 면, 각과 관련된 용어는 다양한 상황에서 직관적으로 이해하게 한다."
13,156,성취기준 해설,"주어진 삼각형과 합동인 삼각형을 작도하는 활동을 하고, 자신의 방법을 설명하게 한다."
14,158,성취기준 해설,"삼각형의 내각과 외각의 크기, 다각형의 내각과 외각의 크기의 합, 다각형의 대각선의 개수를 구하는 과정을 탐구하여 다각형의 성질을 추측하고 일반화할 수 있게 한다."
15,160,성취기준 해설,"구체적인 사물, 전개도, 교구, 컴퓨터 프로그램 등을 이용하여 다면체와 회전체를 관찰하고 그 성질을 탐구하게 한다. 회전체 단면의 모양은 회전체의 성질을 이해하는 데 필요한 정도로 다룬다."
16,162,성취기준 해설,"종이접기, 작도, 공학 도구 등을 이용하여 이등변삼각형의 성질을 추측하게 하고, 그 성질을 삼각형의 합동 조건을 이용하여 정당화할 수 있게 한다. 이때, 증명이라는 용어를 도입하고, 그 필요성을 인식하게 한다."
17,164,성취기준 해설,"사각형의 성질은 대각선에 관한 성질을 위주로 다룬다. 여러 가지 사각형의 성질을 통해 사각형 사이의 관계를 설명하게 한다."
18,168,성취기준 해설,"피타고라스 정리는 다양한 활동을 통하여 추측하고 정당화할 수 있게 한다. 피타고라스 정리의 역은 직관적으로 이해하게 하고, 이를 이용하여 세 변의 길이가 주어진 삼각형이 직각삼각형인지 판별하게 한다."
19,170,성취기준 해설,"삼각비를 활용하여 직접 측정하기 어려운 거리나 높이 등을 구해 보는 활동을 통해 유용성을 인식하고 흥미를 느낄 수 있게 한다."
20,173,성취기준 해설,"대푯값에는 초등학교에서 학습한 평균 이외에도 중앙값, 최빈값이 있음을 알고 그 필요성을 인식하게 한다. 자료의 특성에 따라 적절한 대푯값을 선택하여 구해 보고, 각 대푯값이 어떤 상황에서 유용하게 사용될 수 있는지 토론하게 한다."
21,175,성취기준 해설,"상대도수는 도수의 총합이 다른 두 집단의 분포를 비교하는 상황에서 간단히 다루고, 상대도수의 필요성과 유용성을 인식하게 한다."
22,176,성취기준 해설,"다양한 맥락에서 해결하고자 하는 통계적 탐구 문제를 설정하고 적절한 계획을 세워 자료를 수집하게 한다. 수집한 자료를 자료의 특성과 목적에 맞게 표, 그래프, 수치 등으로 나타내어 분석하고, 그 결과를 탐구 문제와 연결하여 해석하게 한다. 자료를 수집하고 분석할 때는 인터넷 검색, 웹 기반 소프트웨어, 통계 프로그램 등을 활용하게 한다. 수집한 자료나 분석 결과가 적절한지 판단하여 계획을 수정하고, 통계적 근거를 바탕으로 토론하는 등 통계적 문제해결 과정에 주도적으로 참여하게 한다."
23,177,성취기준 해설,"경우의 수는 두 경우의 수를 합하거나 곱하는 경우 정도로만 다루고, 순열과 조합을 이용하면 쉽게 해결되는 등의 복잡한 경우의 수를 구하는 문제는 다루지 않는다."
24,178,성취기준 해설,"확률은 실험이나 관찰을 통해 구한 상대도수로서의 의미와 경우의 수의 비율로서의 의미를 연결하여 이해하게 한다. 경우의 수의 비율로 확률을 다룰 때, 각 경우가 발생할 가능성이 동등하다는 것을 가정한다는 점에 유의하게 한다."
25,180,성취기준 해설,"상자그림을 다룰 때는 두 집단의 분포를 비교하고 해석하는 활동에 중점을 두고, 이를 통해 상자그림의 유용성을 인식하게 한다."
26,181,성취기준 해설,"상관관계는 양의 상관관계, 음의 상관관계, 상관관계가 없는 경우로 구분하여 다룬다."
27,0,용어와 기호,"'수와 연산' 영역에서는 용어와 기호로 '소수, 합성수, 거듭제곱, 지수, 밑, 소인수, 소인수분해, 서로소, 양수, 음수, 양의 정수, 음의 정수, 정수, 수직선, 양의 유리수, 음의 유리수, 유리수, 절댓값, 교환법칙, 결합법칙, 분배법칙, 역수, 유한소수, 무한소수, 순환소수, 순환마디, 제곱근, 근호, 무리수, 실수, 분모의 유리화, 양의 부호(+), 음의 부호(-), ±, <, >, ≤, ≥, 순환소수 표현(예. $\dot{3}$), $\sqrt{a}$'를 다룬다."
28,0,용어와 기호,"'변화와 관계' 영역에서는 용어와 기호로 '대입, 다항식, 항, 단항식, 상수항, 계수, 차수, 일차식, 동류항, 등식, 방정식, 미지수, 해, 근, 항등식, 이항, 일차방정식, 전개, 변수, 좌표, 순서쌍, $x$좌표, $y$좌표, 원점, 좌표축, $x$축, $y$축, 좌표평면, 제1사분면, 제2사분면, 제3사분면, 제4사분면, 그래프, 정비례, 반비례, 부등식, 일차부등식, 연립방정식, 함수, 함숫값, 일차함수, 기울기, $y$절편, $x$절편, 평행이동, 직선의 방정식, 인수, 인수분해, 완전제곱식, 이차방정식, 중근, 근의 공식, 이차함수, 포물선, 축, 꼭짓점, 최댓값, 최솟값, $f(x)$, $\neq$'를 다룬다."
29,0,용어와 기호,"'도형과 측정' 영역에서는 용어와 기호로 '교점, 교선, 두 점 사이의 거리, 중점, 수직이등분선, 꼬인 위치, 교각, 맞꼭지각, 엇각, 동위각, 평각, 직교, 수선의 발, 작도, 대변, 대각, 삼각형의 합동 조건, 내각, 외각, 부채꼴, 중심각, 호, 현, 활꼴, 할선, 다면체, 각뿔대, 정다면체, 회전체, 회전축, 원뿔대, 증명, 접선, 접점, 접한다, 외심, 외접, 외접원, 내심, 내접, 내접원, 중선, 무게중심, 닮음, 닮음비, 삼각형의 닮음 조건, 피타고라스 정리, 삼각비, 사인, 코사인, 탄젠트, 원주각, $\overline{AB}$, $\overrightarrow{AB}$, $\overleftrightarrow{AB}$, $\angle ABC$, $\perp$, $\triangle ABC$, $\equiv$, $\overset{\frown}{AB}$, $\pi$, $\square ABCD$, $\sim$, $\sin A$, $\cos A$, $\tan A$'를 다룬다."
30,0,용어와 기호,"'자료와 가능성' 영역에서는 용어와 기호로 '변량, 대푯값, 중앙값, 최빈값, 줄기와 잎 그림, 계급, 계급의 크기, 도수, 도수분포표, 히스토그램, 도수분포다각형, 상대도수, 사건, 확률, 산포도, 편차, 분산, 표준편차, 사분위수, 상자그림, 산점도, 상관관계'를 다룬다."
31,124,적용시 고려사항,"정수와 유리수의 사칙계산의 원리를 이용하는 문제를 해결하기 위해 더 나은 계산 방법을 끈기 있게 찾아보게 하고, 풀이 과정과 결과를 반성하는 태도를 갖게 한다."
32,128,적용시 고려사항,"제곱근과 무리수는 피타고라스 정리를 이용하여 도입할 수 있다."
33,129,적용시 고려사항,"한 변의 길이가 1인 정사각형의 대각선의 길이 등을 이용하여 무리수의 존재를 직관적으로 이해하게 한다."
34,128,적용시 고려사항,"제곱근의 값은 계산기 등을 이용하여 구할 수 있음을 알게 한다."
35,126,적용시 고려사항,"정수, 유리수와 관련하여 지나치게 복잡한 계산을 포함하는 문제는 다루지 않는다."
36,0,적용시 고려사항,"사칙계산 이외의 이항연산 문제는 다루지 않는다."
37,132,적용시 고려사항,"문자와 수, 문자와 일상 언어의 공통점과 차이점에 대한 탐색을 통해 문자의 특징을 이해하고, 자신의 삶 속에서 문자의 유용성을 인식하게 한다."
38,0,적용시 고려사항,"수에 대한 사칙연산과 소인수분해가 다항식으로 확장될 수 있음을 인식하게 한다."
39,134,적용시 고려사항,"방정식과 부등식, 함수는 다양한 상황을 통해 도입하고, 그 필요성을 인식하게 한다."
40,135,적용시 고려사항,"방정식과 부등식은 여러 가지 방법으로 풀어 보면서 더 나은 풀이 방법으로 해를 찾게 한다. 구한 해가 문제 상황에 적합한지 확인하는 과정을 통해 타당한 근거에 따라 자신의 의견을 논리적으로 설명하는 태도를 갖게 한다."
41,0,적용시 고려사항,"다양한 상황을 일상 언어, 표, 그래프, 식으로 나타내고 이들 사이의 상호 변환 활동을 하게 한다."
42,145,적용시 고려사항,"함수의 개념은 다양한 상황에서 한 양이 변함에 따라 다른 양이 하나씩 정해지는 두 양 사이의 대응 관계를 이용하여 도입한다."
43,146,적용시 고려사항,"다양한 상황을 이용하여 일차함수와 이차함수의 의미를 다룬다."
44,0,적용시 고려사항,"공학 도구를 이용하여 함수의 그래프를 그리거나 함수의 그래프의 성질을 탐구하게 한다."
45,151,적용시 고려사항,"이차방정식은 해가 실수인 경우만 다룬다."
46,0,적용시 고려사항,"이차방정식의 근과 계수와의 관계는 다루지 않는다."
47,0,적용시 고려사항,"실생활이나 사회 및 자연 현상과 관련된 문제를 해결할 때 수학적 모델링을 적용하고 도전적으로 문제를 해결할 수 있게 한다. 이때, 환경 및 기후변화 등과 관련된 다양한 문제 상황을 통해 생태전환에 관심을 갖게 한다."
48,135,적용시 고려사항,"방정식, 부등식, 함수에 대한 지나치게 복잡한 활용 문제는 다루지 않는다."
49,0,적용시 고려사항,"'식의 값', '좌변', '우변', '양변', '이차식', '전개식', '연립일차방정식', '소거', '가감법', '대입법', '함수의 그래프' 용어는 교수·학습 상황에서 사용할 수 있다."
50,0,적용시 고려사항,"다양한 교구나 공학 도구를 이용하여 합동과 닮음의 의미를 이해하게 한다."
51,158,적용시 고려사항,"다각형과 다면체는 그 모양이 볼록인 경우만 다룬다."
52,160,적용시 고려사항,"간단한 입체도형의 단면을 관찰하는 활동과 전개도를 접어 간단한 입체도형을 만드는 활동을 통해 평면도형과 입체도형의 관계를 직관적으로 이해하게 한다."
53,0,적용시 고려사항,"다양한 교구나 공학 도구를 이용하여 도형을 그리거나 만들어 보는 활동을 통해 도형의 성질을 추론하고 토론할 수 있게 한다."
54,0,적용시 고려사항,"도형의 성질을 이해하고 정당화하는 방법은 관찰이나 실험을 통한 확인, 사례나 근거 제시를 통한 설명, 유사성에 근거한 추론, 증명 등이 있으며, 이를 학생 수준에 맞게 활용할 수 있다."
55,0,적용시 고려사항,"도형의 성질을 정당화하는 다양한 방법을 통해 체계적으로 사고하고 타인을 논리적으로 설득하는 태도를 갖게 한다."
56,0,적용시 고려사항,"증명을 할 때, '가정', '결론' 용어는 다루지 않는다."
57,168,적용시 고려사항,"수학사를 통하여 피타고라스 정리, 삼각비에 관심을 가지고 그 유용성을 인식하게 한다."
58,0,적용시 고려사항,"삼각비 사이의 관계는 다루지 않는다."
59,169,적용시 고려사항,"삼각비의 값은 0°에서 90°까지의 각도에 대한 것만 다룬다."
60,0,적용시 고려사항,"주변의 건축물, 문화유산, 예술 작품 등에서 도형의 성질을 찾게 하여 수학에 대한 흥미와 관심을 가질 수 있게 한다."
61,161,적용시 고려사항,"복잡하게 변형된 평면도형의 넓이와 둘레의 길이, 입체도형의 겉넓이와 부피를 구하는 문제는 다루지 않는다."
