element_id,domain_id,level_id,category_id,element_name,element_description,element_order
1,1,1,1,네 자리 이하의 수,0과 100까지의 수 개념부터 네 자리 이하의 수까지 학습,1
2,1,1,1,두 자리 수 범위의 덧셈과 뺄셈,두 자리 수까지의 덧셈과 뺄셈 계산,2
3,1,1,1,한 자리 수의 곱셈,한 자리 수의 곱셈과 곱셈구구,3
4,1,1,2,자연수 관련 개념 탐구,자연수의 개념과 원리를 탐구하고 수를 세고 읽고 쓰기,1
5,1,1,2,자연수 크기 비교,자연수의 크기를 비교하고 그 방법을 설명하기,2
6,1,1,2,사칙계산 탐구,사칙계산의 의미와 계산 원리를 탐구하고 계산하기,3
7,1,1,2,수 감각과 연산 감각,수 감각과 연산 감각 기르기,4
8,1,1,2,실생활 문제해결,자연수와 사칙계산을 실생활 및 타 교과와 연결하여 문제해결하기,5
9,1,1,3,자연수의 필요성 인식,자연수의 필요성 인식,1
10,1,1,3,사칙계산의 유용성 인식,사칙계산과 어림의 유용성 인식,2
11,1,1,3,비판적 사고 태도,수와 연산 관련 문제해결에서 비판적으로 사고하는 태도,3
