element_id,domain_id,level_id,category_id,element_name,element_description,element_order
214,1,4,1,소인수분해,자연수의 소인수분해와 소수 합성수 개념,1
215,1,4,1,정수와 유리수,음수의 도입과 정수 유리수 개념 절댓값,2
216,1,4,1,유리수와 순환소수,유한소수 무한소수 순환소수와 유리수의 관계,3
217,1,4,1,제곱근과 실수,제곱근과 무리수 실수 개념 분모의 유리화,4
218,2,4,1,문자의 사용과 식,문자를 사용한 식의 표현 일차식,1
219,2,4,1,일차방정식,방정식과 해의 개념 등식의 성질,2
220,2,4,1,좌표평면과 그래프,순서쌍과 좌표평면 정비례 반비례,3
221,2,4,1,식의 계산,지수법칙과 다항식의 덧셈과 뺄셈 단항식의 곱셈과 나눗셈,4
222,2,4,1,일차부등식,부등식과 해의 개념 부등식의 성질,5
223,2,4,1,연립일차방정식,미지수가 2개인 연립일차방정식,6
224,2,4,1,일차함수와 그 그래프,일차함수의 개념과 그래프 기울기와 절편,7
225,2,4,1,일차함수와 일차방정식의 관계,일차함수와 미지수가 2개인 일차방정식의 관계,8
226,2,4,1,다항식의 곱셈과 인수분해,다항식의 곱셈과 인수분해 완전제곱식,9
227,2,4,1,이차방정식,이차방정식의 해법 중근 근의 공식,10
228,2,4,1,이차함수와 그 그래프,이차함수의 개념과 그래프 포물선 축 꼭짓점 최댓값 최솟값,11
229,3,4,1,기본 도형,점 선 면 각의 기본 개념 평행선의 동위각과 엇각,1
230,3,4,1,작도와 합동,삼각형의 작도와 합동 조건,2
231,3,4,1,평면도형의 성질,다각형의 내각과 외각 부채꼴의 중심각과 호 호의 길이와 넓이,3
232,3,4,1,입체도형의 성질,다면체와 회전체의 성질 겉넓이와 부피,4
233,3,4,1,삼각형과 사각형의 성질,이등변삼각형의 성질 삼각형의 외심과 내심 사각형의 성질,5
234,3,4,1,도형의 닮음,닮음의 개념과 닮음비 삼각형의 닮음 조건 평행선 사이의 선분의 길이의 비,6
235,3,4,1,피타고라스 정리,직각삼각형의 피타고라스 정리와 그 역,7
236,3,4,1,삼각비,직각삼각형의 삼각비 사인 코사인 탄젠트,8
237,3,4,1,원의 성질,원의 현과 접선 성질 원주각의 성질,9
238,4,4,1,대푯값,평균 중앙값 최빈값,1
239,4,4,1,도수분포표와 상대도수,줄기와 잎 그림 도수분포표 히스토그램 도수분포다각형 상대도수,2
240,4,4,1,경우의 수와 확률,경우의 수와 확률의 개념과 기본 성질,3
241,4,4,1,산포도,편차 분산 표준편차,4
242,4,4,1,상자그림과 산점도,사분위수 상자그림 산점도 상관관계,5
243,1,4,2,정수 유리수 실수 대소관계,정수 유리수 실수의 대소 관계 판단하기,1
244,1,4,2,정수 유리수 근호 계산,정수 유리수 근호를 포함한 식의 사칙계산의 원리를 탐구하고 계산하기,2
245,1,4,2,유리수와 순환소수 관계,유리수와 순환소수의 관계 설명하기,3
246,2,4,2,식의 값과 함숫값,식의 값과 함숫값 구하기,1
247,2,4,2,다항식의 연산,다항식의 연산 원리에 따라 계산하기,2
248,2,4,2,식을 간단히 하기,식을 간단히 하기,3
249,2,4,2,등식과 부등식의 성질,등식의 성질과 부등식의 성질 설명하기,4
250,2,4,2,방정식과 부등식 풀기,방정식과 부등식 풀기,5
251,2,4,2,방정식 부등식 함수 문제해결,방정식 부등식 함수와 관련된 문제해결하기,6
