term_id,level_id,domain_id,term_type,term_name,term_description
100,3,1,용어,이상,어떤 기준보다 크거나 같은 것
101,3,1,용어,이하,어떤 기준보다 작거나 같은 것
102,3,1,용어,초과,어떤 기준보다 큰 것
103,3,1,용어,미만,어떤 기준보다 작은 것
104,3,1,용어,올림,소수점 아래를 모두 버리고 정수 부분에 1을 더하는 것
105,3,1,용어,버림,소수점 아래를 모두 버리는 것
106,3,1,용어,반올림,소수점 아래 첫째 자리가 5 이상이면 올리고 아니면 버리는 것
107,3,1,용어,약수,어떤 수를 나누어떨어지게 하는 수
108,3,1,용어,공약수,두 수 이상의 공통인 약수
109,3,1,용어,최대공약수,공약수 중에서 가장 큰 수
110,3,1,용어,배수,어떤 수에 자연수를 곱하여 얻은 수
111,3,1,용어,공배수,두 수 이상의 공통인 배수
112,3,1,용어,최소공배수,공배수 중에서 가장 작은 수
113,3,1,용어,약분,분자와 분모를 공약수로 나누어 간단히 하는 것
114,3,1,용어,통분,분모가 다른 분수의 분모를 같게 만드는 것
115,3,1,용어,기약분수,더 이상 약분할 수 없는 분수
116,3,2,용어,비,두 양의 크기를 비교하는 방법
117,3,2,용어,기준량,비교의 기준이 되는 양
118,3,2,용어,비교하는 양,기준량과 비교되는 양
119,3,2,용어,비율,기준량에 대한 비교하는 양의 비
120,3,2,용어,백분율,기준량을 100으로 하여 나타낸 비율
121,3,2,용어,비례식,두 비가 같다는 식
122,3,2,용어,비례배분,정해진 비에 따라 양을 나누는 것
123,3,2,기호,:,비를 나타내는 기호
124,3,2,기호,%,백분율을 나타내는 기호
125,3,3,용어,합동,모양과 크기가 완전히 같은 것
126,3,3,용어,대칭,한 직선이나 한 점을 중심으로 대응되는 것
127,3,3,용어,대응점,합동인 도형에서 서로 대응되는 점
128,3,3,용어,대응변,합동인 도형에서 서로 대응되는 변
129,3,3,용어,대응각,합동인 도형에서 서로 대응되는 각
130,3,3,용어,선대칭도형,어떤 직선을 중심으로 대칭인 도형
131,3,3,용어,점대칭도형,어떤 점을 중심으로 대칭인 도형
132,3,3,용어,대칭축,선대칭도형의 대칭의 기준이 되는 직선
133,3,3,용어,대칭의 중심,점대칭도형의 대칭의 기준이 되는 점
134,3,3,용어,원주,원둘레의 길이
135,3,3,용어,원주율,원주와 지름의 비율 (약 3.14)
136,3,3,기호,$\text{cm}^2$,제곱센티미터(넓이의 단위)
137,3,3,기호,$\text{m}^2$,제곱미터(넓이의 단위)
138,3,3,기호,$\text{km}^2$,제곱킬로미터(넓이의 단위)
139,3,3,기호,$\text{cm}^3$,세제곱센티미터(부피의 단위)
140,3,3,기호,$\text{m}^3$,세제곱미터(부피의 단위)
