성취기준,수준,성취수준
[2수03-01],A,주변 물건을 직육면체 원기둥 구의 모양으로 분류하여 특징을 말하고 그 모양들을 이용하여 여러 가지 모양을 만들 수 있다.
[2수03-01],B,주변 물건에서 직육면체 원기둥 구의 모양을 찾고 그 모양들을 이용하여 여러 가지 모양을 만들 수 있다.
[2수03-01],C,주어진 물건에서 직육면체 원기둥 구의 모양을 찾고 그 모양들을 이용하여 간단한 모양을 만들 수 있다.
[2수03-02],A,쌓기나무를 이용하여 다양한 입체도형의 모양을 만들고 그 모양에 대해 위치나 방향을 이용하여 여러 가지 방법으로 말할 수 있다.
[2수03-02],B,쌓기나무를 이용하여 입체도형의 모양을 만들고 그 모양에 대해 위치나 방향을 이용하여 말할 수 있다.
[2수03-02],C,안내된 절차에 따라 쌓기나무로 간단한 입체도형의 모양을 만들고 그 모양에 대해 위치나 방향을 이용하여 말할 수 있다.
[2수03-03],A,주변 물건을 삼각형 사각형 원의 모양으로 분류하여 특징을 말하고 그 모양들을 이용하여 여러 가지 모양을 만들 수 있다.
[2수03-03],B,주변 물건에서 삼각형 사각형 원의 모양을 찾고 그 모양들을 이용하여 여러 가지 모양을 만들 수 있다.
[2수03-03],C,주어진 물건에서 삼각형 사각형 원의 모양을 찾고 이를 이용하여 간단한 모양을 만들 수 있다.
[2수03-04],A,삼각형 사각형 원의 예인 것과 아닌 것을 각각 분류하고 여러 가지 모양의 삼각형 사각형 원을 그릴 수 있다.
[2수03-04],B,도형의 예를 통해 삼각형 사각형 원을 직관적으로 이해하고 여러 가지 방법(본뜨기 도형판 이용 등)으로 삼각형 사각형 원을 그릴 수 있다.
[2수03-04],C,주어진 도형에서 삼각형 사각형 원을 찾고 물건을 본떠서 삼각형 사각형 원을 그릴 수 있다.
[2수03-05],A,삼각형 또는 사각형에서 각 도형의 여러 가지 공통점을 찾고 이를 이용하여 주어진 도형이 삼각형 또는 사각형임을 말할 수 있다.
[2수03-05],B,삼각형 또는 사각형에서 각 도형의 여러 가지 공통점을 찾아 말할 수 있다.
[2수03-05],C,안내된 절차에 따라 삼각형 또는 사각형에서 각 도형의 공통점을 찾을 수 있다.
[2수03-06],A,구체물의 길이 들이 무게 넓이를 여러 가지 방법으로 비교하여 각각 '길다 짧다' '많다 적다' '무겁다 가볍다' '넓다 좁다' 등을 구별하여 말할 수 있다.
[2수03-06],B,구체물의 길이 들이 무게 넓이를 비교하여 각각 '길다 짧다' '많다 적다' '무겁다 가볍다' '넓다 좁다' 등을 구별할 수 있다.
[2수03-06],C,안내된 절차에 따라 구체물의 길이 들이 무게 넓이를 비교하여 어느 것이 더 긴지 더 많은지 더 무거운지 더 넓은지를 구별할 수 있다.
[2수03-07],A,시계가 나타내는 여러 가지 시각을 '몇 시' '몇 시 30분' '몇 시 몇 분' 등으로 읽고 주어진 시각을 시계에 나타낼 수 있다.
[2수03-07],B,시계가 나타내는 여러 가지 시각을 '몇 시' '몇 시 30분' '몇 시 몇 분' 등으로 읽을 수 있다.
[2수03-07],C,시계에서 짧은바늘은 '시' 긴바늘은 '분'을 나타냄을 알고 안내된 절차에 따라 간단한 시각을 읽을 수 있다.
[2수03-08],A,1시간과 1분의 관계를 이용하여 실생활 상황에서 시간을 '몇 시간 몇 분'과 '몇 분'으로 각각 나타낼 수 있다.
[2수03-08],B,1시간과 1분의 관계를 이용하여 '몇 시간 몇 분'을 '몇 분'으로 '몇 분'을 '몇 시간 몇 분'으로 나타낼 수 있다.
[2수03-08],C,1시간이 60분임을 알고 안내된 절차에 따라 '몇 시간'을 '몇 분'으로 '몇 분'을 '몇 시간'으로 나타낼 수 있다.
