성취기준,수준,성취수준
[6수04-01],A,평균의 의미와 유용성을 인식하고 여러 집단의 자료를 수집하여 평균을 구하고 해석할 수 있다.
[6수04-01],B,평균의 의미를 알고 주어진 자료의 평균을 구하고 해석할 수 있다.
[6수04-01],C,간단한 자료의 평균을 구할 수 있다.
[6수04-02],A,자료를 수집하여 띠그래프나 원그래프로 나타내고 그래프를 해석하며 그 과정에서 비율그래프의 필요성을 안다.
[6수04-02],B,주어진 자료를 띠그래프나 원그래프로 나타내고 그래프를 해석할 수 있다.
[6수04-02],C,안내된 절차에 따라 자료를 띠그래프나 원그래프로 나타내고 그래프에서 간단한 사실을 찾을 수 있다.
[6수04-03],A,탐구 문제를 설정하고 그에 맞는 자료를 수집 정리하여 적절한 그래프로 나타내며 그래프를 해석할 수 있다.
[6수04-03],B,탐구 문제에 맞는 자료를 수집 정리하여 적절한 그래프로 나타내고 그래프를 해석할 수 있다.
[6수04-03],C,안내된 절차에 따라 자료를 적절한 그래프로 나타내고 그래프에서 간단한 사실을 찾을 수 있다.
[6수04-04],A,실생활에서 여러 가지 사건이 일어날 가능성을 말로 표현하고 가능성을 비교하여 설명할 수 있다.
[6수04-04],B,주어진 사건이 일어날 가능성을 말로 표현하고 가능성을 비교할 수 있다.
[6수04-04],C,안내된 절차에 따라 주어진 사건이 일어날 가능성을 말로 표현할 수 있다.
[6수04-05],A,실생활의 간단한 사건에 대하여 사건이 일어날 가능성을 수로 표현하고 그 이유를 설명할 수 있다.
[6수04-05],B,실생활의 간단한 사건에 대하여 사건이 일어날 가능성을 수로 표현할 수 있다.
[6수04-05],C,안내된 절차에 따라 간단한 사건에 대하여 사건이 일어날 가능성을 0 1/2 1로 구분할 수 있다.
[6수04-06],A,간단한 실험 결과를 나타낸 자료를 보고 가능성을 예상하고 가능성에 근거하여 적절한 판단을 내릴 수 있다.
[6수04-06],B,간단한 실험 결과를 나타낸 자료를 보고 가능성을 예상할 수 있다.
[6수04-06],C,안내된 절차에 따라 간단한 실험 결과를 나타낸 자료를 보고 가능성을 예상할 수 있다.
