성취기준,수준,성취수준
[9수01-01],A,소인수분해의 뜻을 설명하고 자연수를 소인수분해 할 수 있다.
[9수01-01],B,소인수분해의 뜻을 설명하고 자연수를 소인수분해 할 수 있다.
[9수01-01],C,소인수분해의 뜻을 알고 자연수를 소인수의 곱으로 표현할 수 있다.
[9수01-01],D,소인수분해의 뜻을 알고 자연수를 소인수의 곱으로 표현할 수 있다.
[9수01-01],E,소인수를 알고 안내된 절차에 따라 자연수를 소인수의 곱으로 표현할 수 있다.
[9수01-02],A,소인수분해를 이용하여 최대공약수와 최소공배수를 구하고 그 원리를 설명할 수 있다.
[9수01-02],B,소인수분해를 이용하여 최대공약수와 최소공배수를 구하고 그 원리를 설명할 수 있다.
[9수01-02],C,소인수분해를 이용하여 두 수의 최대공약수와 최소공배수를 구할 수 있다.
[9수01-02],D,소인수분해를 이용하여 두 수의 최대공약수와 최소공배수를 구할 수 있다.
[9수01-02],E,소인수분해 된 두 수의 최대공약수 또는 최소공배수를 구할 수 있다.
[9수01-03],A,"다양한 상황에서 음수가 사용되는 예를 찾는 활동을 기반으로 음수의 필요성을 인식하고, 양수와 음수, 정수와 유리수의 개념을 이해하며, 이들 사이의 관계를 설명할 수 있다."
[9수01-03],B,"다양한 상황에서 음수가 사용되는 예를 기반으로 음수의 필요성을 인식하고, 양수와 음수, 정수와 유리수의 개념을 이해하며 이들 수를 분류하고 설명할 수 있다."
[9수01-03],C,"음수가 사용되는 예를 기반으로 음수의 필요성을 인식하고, 양수와 음수, 정수와 유리수의 개념을 이해하며, 수를 분류할 수 있다."
[9수01-03],D,"양수와 음수, 정수와 유리수의 개념을 부분적으로 이해하고, 수를 분류할 수 있다."
[9수01-03],E,"주어진 수에서 양수와 음수, 정수와 유리수를 구분할 수 있다."
[9수01-04],A,정수와 유리수의 대소 관계를 여러 가지 방법으로 판단하고 그 이유를 설명할 수 있다.
[9수01-04],B,정수와 유리수의 대소 관계를 여러 가지 방법으로 판단하고 그 이유를 설명할 수 있다.
[9수01-04],C,정수와 유리수의 대소 관계를 판단할 수 있다.
[9수01-04],D,정수와 유리수의 대소 관계를 판단할 수 있다.
[9수01-04],E,수직선 위에 나타나 있는 두 정수와 두 유리수의 대소 관계를 판단할 수 있다.
[9수01-05],A,"정수와 유리수의 사칙계산의 원리를 설명하고 복잡한 혼합계산을 할 수 있으며, 다양한 실생활 상황을 기반으로 정수와 유리수의 사칙계산의 유용성을 인식한다."
[9수01-05],B,"정수와 유리수의 사칙계산의 원리를 이해하고 혼합계산을 할 수 있으며, 실생활 상황을 기반으로 정수와 유리수의 사칙계산의 유용성을 인식한다."
[9수01-05],C,"정수와 유리수의 사칙계산의 원리를 이해하고. 정수와 유리수의 덧셈, 뺄셈, 곱셈, 나눗셈을 할 수 있으며, 정수와 유리수의 사칙계산이 사용되는 예를 찾을 수 있다."
[9수01-05],D,"정수와 유리수의 사칙계산의 원리를 알고, 간단한 정수와 유리수의 덧셈, 뺄셈, 곱셈, 나눗셈을 할 수 있다."
[9수01-05],E,간단한 두 정수 또는 두 유리수의 덧셈 뺄셈 곱셈 나눗셈을 할 수 있다.
[9수01-06],A,"유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징을 이해하고, 순환소수를 분수로 나타내는 과정을 설명할 수 있으며 이를 통해 유리수와 순환소수의 관계를 설명할 수 있다."
[9수01-06],B,"유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징을 이해하고, 순환소수를 분수로 나타낼 수 있으며 이를 통해 유리수와 순환소수의 관계를 이해한다."
[9수01-06],C,"유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징을 이해하고, 순환소수를 분수로 나타낼 수 있다."
[9수01-06],D,"순환소수의 뜻을 알고 주어진 분수 중 유한소수 또는 순환소수로 나타낼 수 있는 분수를 구분할 수 있으며, 순환소수 중 일부를 분수로 나타낼 수 있다."
[9수01-06],E,순환소수의 뜻을 알고 안내된 절차에 따라 순환소수를 분수로 나타낼 수 있다.
[9수01-07],A,"제곱근의 뜻과 성질을 이해하고, 근호를 포함한 식을 간단히 할 수 있으며 제곱근의 대소 관계를 판단하고 그 이유를 설명할 수 있다."
[9수01-07],B,"제곱근의 뜻과 성질을 이해하고, 근호를 포함한 식을 간단히 할 수 있으며 제곱근의 대소 관계를 판단할 수 있다."
[9수01-07],C,"제곱근의 뜻과 성질을 알고, 주어진 유리수의 제곱근을 근호를 사용하여 나타낼 수 있으며 제곱근의 대소 관계를 판단할 수 있다."
[9수01-07],D,"제곱근의 뜻을 알고, 주어진 자연수의 제곱근을 근호를 사용하여 나타낼 수 있으며 제곱근의 대소 관계를 판단할 수 있다."
[9수01-07],E,"제곱근의 뜻을 알고, 1, 4, 9 등과 같은 제곱수의 제곱근을 구할 수 있으며 안내된 절차에 따라 제곱근의 대소 관계를 판단할 수 있다."
[9수01-08],A,"한 변의 길이가 1인 정사각형의 대각선의 길이 등 유리수가 아닌 예를 통해 무리수의 개념을 이해하고 실수의 수 체계를 설명할 수 있으며, 실생활에서 사용되는 무리수의 예를 통해 무리수의 필요성과 유용성을 설명할 수 있다."
