standard_id,standard_code,level_id,domain_id,element_name,standard_content
1,2수01-01,1,1,네 자리 이하의 수,"수의 필요성을 인식하면서 0과 100까지의 수 개념을 이해하고, 수를 세고 읽고 쓸 수 있다."
2,2수01-02,1,1,네 자리 이하의 수,"일, 십, 백, 천의 자릿값과 위치적 기수법을 이해하고, 네 자리 이하의 수를 읽고 쓸 수 있다."
3,2수01-03,1,1,네 자리 이하의 수,"네 자리 이하의 수의 범위에서 수의 계열을 이해하고, 수의 크기를 비교할 수 있다."
4,2수01-04,1,1,네 자리 이하의 수,"하나의 수를 두 수로 분해하고 두 수를 하나의 수로 합성하는 활동을 통하여 수 감각을 기른다."
5,2수01-05,1,1,두 자리 수 범위의 덧셈과 뺄셈,"덧셈과 뺄셈이 이루어지는 실생활 상황과 연결하여 덧셈과 뺄셈의 의미를 이해한다."
6,2수01-06,1,1,두 자리 수 범위의 덧셈과 뺄셈,"두 자리 수의 범위에서 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다."
7,2수01-07,1,1,두 자리 수 범위의 덧셈과 뺄셈,"덧셈과 뺄셈의 관계를 이해한다."
8,2수01-08,1,1,두 자리 수 범위의 덧셈과 뺄셈,"두 자리 수의 범위에서 세 수의 덧셈과 뺄셈을 할 수 있다."
9,2수01-09,1,1,두 자리 수 범위의 덧셈과 뺄셈,"□가 사용된 덧셈식과 뺄셈식을 만들고, □의 값을 구할 수 있다."
10,2수01-10,1,1,한 자리 수의 곱셈,"곱셈이 이루어지는 실생활 상황과 연결하여 곱셈의 의미를 이해한다."
11,2수01-11,1,1,한 자리 수의 곱셈,"곱셈구구를 이해하고, 한 자리 수의 곱셈을 할 수 있다."
12,2수02-01,1,2,규칙 찾기,"물체, 무늬, 수 등의 배열에서 규칙을 찾아 여러 가지 방법으로 표현할 수 있다."
13,2수02-02,1,2,규칙 찾기,"자신이 정한 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다."
14,2수03-01,1,3,입체도형의 모양,"교실 및 생활 주변에서 여러 가지 물건을 관찰하여 직육면체, 원기둥, 구의 모양을 찾고, 이를 이용하여 여러 가지 모양을 만들 수 있다."
15,2수03-02,1,3,입체도형의 모양,"쌓기나무를 이용하여 여러 가지 입체도형의 모양을 만들고, 그 모양에 대해 위치나 방향을 이용하여 말할 수 있다."
16,2수03-03,1,3,평면도형과 그 구성 요소,"교실 및 생활 주변에서 여러 가지 물건을 관찰하여 삼각형, 사각형, 원의 모양을 찾고, 이를 이용하여 여러 가지 모양을 만들 수 있다."
