standard_id,standard_code,level_id,domain_id,element_id,standard_title,standard_content,standard_order
77,6수01-01,3,1,34,자연수의 혼합 계산,"덧셈, 뺄셈, 곱셈, 나눗셈의 혼합 계산에서 계산하는 순서를 알고, 혼합 계산을 할 수 있다.",1
78,6수01-02,3,1,35,수의 범위와 올림 버림 반올림,"실생활과 연결하여 이상, 이하, 초과, 미만의 의미와 쓰임을 알고, 이를 활용하여 수의 범위를 나타낼 수 있다.",1
79,6수01-03,3,1,35,수의 범위와 올림 버림 반올림,"어림값을 구하기 위한 방법으로 올림, 버림, 반올림의 의미와 필요성을 알고, 이를 실생활에 활용함으로써 수학의 유용성을 인식할 수 있다.",2
80,6수01-04,3,1,36,약수와 배수,"약수, 공약수, 최대공약수를 이해하고 구할 수 있다.",1
81,6수01-05,3,1,36,약수와 배수,"배수, 공배수, 최소공배수를 이해하고 구할 수 있다.",2
82,6수01-06,3,1,37,분수의 덧셈과 뺄셈,"크기가 같은 분수를 만드는 방법을 이해하고, 분수를 약분, 통분할 수 있다.",1
83,6수01-07,3,1,37,분수의 덧셈과 뺄셈,"분모가 다른 분수의 크기를 비교하고 그 방법을 설명할 수 있다.",2
84,6수01-08,3,1,37,분수의 덧셈과 뺄셈,"분모가 다른 분수의 덧셈과 뺄셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.",3
85,6수01-09,3,1,38,분수의 곱셈과 나눗셈,"분수의 곱셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.",1
86,6수01-10,3,1,38,분수의 곱셈과 나눗셈,"'(자연수)÷(자연수)'에서 나눗셈의 몫을 분수로 나타낼 수 있다.",2
87,6수01-11,3,1,38,분수의 곱셈과 나눗셈,"분수의 나눗셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.",3
88,6수01-12,3,1,39,분수와 소수의 관계,"분수와 소수의 관계를 이해하고 크기를 비교하며 그 방법을 설명할 수 있다.",1
89,6수01-13,3,1,40,소수의 곱셈과 나눗셈,"소수의 곱셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.",1
90,6수01-14,3,1,40,소수의 곱셈과 나눗셈,"'(자연수)÷(자연수)'에서 나눗셈의 몫을 소수로 나타낼 수 있다.",2
91,6수01-15,3,1,40,소수의 곱셈과 나눗셈,"소수의 나눗셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.",3
92,6수02-01,3,2,41,대응 관계,"한 양이 변할 때 다른 양이 그에 종속하여 변하는 대응 관계를 나타낸 표에서 규칙을 찾아 설명하고, □, △ 등을 사용하여 식으로 나타낼 수 있다.",1
93,6수02-02,3,2,42,비와 비율,"두 양의 크기를 비교하는 상황을 통해 비의 개념을 이해하고, 두 양의 관계를 비로 나타낼 수 있다.",1
94,6수02-03,3,2,42,비와 비율,"비율을 이해하고, 비율을 분수, 소수, 백분율로 나타낼 수 있다.",2
95,6수02-04,3,2,43,비례식과 비례배분,"비례식을 알고, 그 성질을 이해하며, 이를 활용하여 간단한 비례식을 풀 수 있다.",1
96,6수02-05,3,2,43,비례식과 비례배분,"비례배분을 알고, 주어진 양을 비례배분 할 수 있다.",2
97,6수03-01,3,3,44,합동과 대칭,"도형의 합동을 이해하고, 합동인 도형의 성질을 탐구하고 설명할 수 있다.",1
98,6수03-02,3,3,44,합동과 대칭,"실생활과 연결하여 선대칭도형과 점대칭도형을 이해하고 그릴 수 있다.",2
99,6수03-03,3,3,45,직육면체와 정육면체,"직육면체와 정육면체를 이해하고, 구성 요소와 성질을 탐구하고 설명할 수 있다.",1
100,6수03-04,3,3,45,직육면체와 정육면체,"직육면체와 정육면체의 겨냥도와 전개도를 그릴 수 있다.",2
101,6수03-05,3,3,46,각기둥과 각뿔,"각기둥과 각뿔을 이해하고, 구성 요소와 성질을 탐구하고 설명할 수 있다.",1
102,6수03-06,3,3,46,각기둥과 각뿔,"각기둥의 전개도를 그릴 수 있다.",2
103,6수03-07,3,3,47,원기둥 원뿔 구,"원기둥, 원뿔, 구를 이해하고, 구성 요소와 성질을 탐구하고 설명할 수 있다.",1
104,6수03-08,3,3,47,원기둥 원뿔 구,"원기둥의 전개도를 그릴 수 있다.",2
105,6수03-09,3,3,48,입체도형의 공간 감각,"쌓기나무로 만든 입체도형을 보고 사용된 쌓기나무의 개수를 구할 수 있다.",1
106,6수03-10,3,3,48,입체도형의 공간 감각,"쌓기나무로 만든 입체도형의 위, 앞, 옆에서 본 모양을 표현할 수 있고, 이러한 표현을 보고 입체도형의 모양을 추측할 수 있다.",2
107,6수03-11,3,3,49,다각형의 둘레와 넓이,"평면도형의 둘레를 이해하고, 기본적인 평면도형의 둘레를 구할 수 있다.",1
108,6수03-12,3,3,49,다각형의 둘레와 넓이,"넓이 단위 1cm², 1m², 1km²를 알며, 그 관계를 이해한다.",2
109,6수03-13,3,3,49,다각형의 둘레와 넓이,"직사각형과 정사각형의 넓이를 구하는 방법을 이해하고, 이를 구할 수 있다.",3
110,6수03-14,3,3,49,다각형의 둘레와 넓이,"평행사변형, 삼각형, 사다리꼴, 마름모의 넓이를 구하는 방법을 다양하게 추론하고, 이와 관련된 문제를 해결할 수 있다.",4
111,6수03-15,3,3,50,원주율과 원의 넓이,"여러 가지 원 모양 물체의 원주와 지름을 측정하는 활동을 통하여, 원주율이 일정한 값임을 알고 그 근삿값을 사용할 수 있다.",1
112,6수03-16,3,3,50,원주율과 원의 넓이,"원주와 원의 넓이를 구하는 방법을 이해하고, 이를 구할 수 있다.",2
113,6수03-17,3,3,51,입체도형의 겉넓이와 부피,"직육면체와 정육면체의 겉넓이를 구하는 방법을 이해하고, 이를 구할 수 있다.",1
114,6수03-18,3,3,51,입체도형의 겉넓이와 부피,"부피 단위 1cm³, 1m³를 알며, 그 관계를 이해한다.",2
115,6수03-19,3,3,51,입체도형의 겉넓이와 부피,"직육면체와 정육면체의 부피를 구하는 방법을 이해하고, 이를 구할 수 있다.",3
116,6수04-01,3,4,52,자료의 수집과 정리,"평균의 의미를 알고, 자료를 수집하여 평균을 구하고 해석할 수 있다.",1
117,6수04-02,3,4,52,자료의 수집과 정리,"자료를 수집하여 띠그래프나 원그래프로 나타내고 해석할 수 있다.",2
118,6수04-03,3,4,52,자료의 수집과 정리,"탐구 문제를 설정하고, 그에 맞는 자료를 수집, 정리하여 적절한 그래프로 나타내고 해석할 수 있다.",3
119,6수04-04,3,4,53,가능성,"사건이 일어날 가능성을 말로 표현하고 비교할 수 있다.",1
120,6수04-05,3,4,53,가능성,"사건이 일어날 가능성을 수로 나타낼 수 있다.",2
121,6수04-06,3,4,53,가능성,"자료를 이용하여 가능성을 예상하고, 가능성에 근거하여 적절한 판단을 내릴 수 있다.",3
