term_id,level_id,domain_id,term_type,term_name,term_description
1,1,1,용어,모으기,두 수나 양을 합하는 것
2,1,1,용어,가르기,하나의 수를 두 수로 나누는 것
3,1,1,용어,덧셈,두 수를 더하는 연산
4,1,1,용어,뺄셈,한 수에서 다른 수를 빼는 연산
5,1,1,용어,합,덧셈의 결과
6,1,1,용어,차,뺄셈의 결과
7,1,1,용어,곱셈,같은 수를 여러 번 더하는 연산
8,1,1,용어,곱셈구구,1부터 9까지의 수의 곱셈표
9,1,1,용어,짝수,2로 나누어떨어지는 수
10,1,1,용어,홀수,2로 나누어떨어지지 않는 수
11,1,1,기호,+,더하기 기호
12,1,1,기호,-,빼기 기호
13,1,1,기호,×,곱하기 기호
14,1,1,기호,=,같다 기호
15,1,1,기호,>,크다 기호
16,1,1,기호,<,작다 기호
17,1,3,용어,오각형,다섯 개의 변으로 둘러싸인 도형
18,1,3,용어,육각형,여섯 개의 변으로 둘러싸인 도형
19,1,3,용어,칠각형,일곱 개의 변으로 둘러싸인 도형
20,1,3,용어,팔각형,여덟 개의 변으로 둘러싸인 도형
21,1,3,용어,삼각형,세 개의 변으로 둘러싸인 도형
22,1,3,용어,사각형,네 개의 변으로 둘러싸인 도형
23,1,3,용어,원,한 점에서 같은 거리에 있는 점들의 모임
24,1,3,용어,꼭짓점,도형에서 변과 변이 만나는 점
25,1,3,용어,변,도형의 가장자리를 이루는 선분
26,1,3,용어,쌓기나무,직육면체 모양의 나무 블록
27,1,3,용어,시,시간의 단위
28,1,3,용어,분,시간의 단위 (60분 = 1시간)
29,1,3,용어,초,시간의 단위 (60초 = 1분)
30,1,3,용어,시각,시간의 한 점
31,1,3,용어,시간,시각에서 시각까지의 간격
32,1,3,용어,약,대략적인 값을 나타낼 때 사용
33,1,3,기호,cm,센티미터 (길이의 단위)
34,1,3,기호,m,미터 (길이의 단위)
35,1,4,용어,표,자료를 행과 열로 정리한 것
36,1,4,용어,그래프,자료를 시각적으로 나타낸 것
37,1,4,용어,○,표나 그래프에서 자료를 나타내는 기호
38,1,4,용어,/,표나 그래프에서 자료를 나타내는 기호
39,1,4,용어,│,표나 그래프에서 자료를 나타내는 기호
